Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.0,-0.026290076335877863,0.005435114503816794,-0.08122137404580153,0.128662109375,0.185791015625,0.895263671875
0.005,-0.027541984732824428,0.004213740458015267,-0.08280916030534351,0.13623046875,0.1875,0.886474609375
0.01,-0.029770992366412213,0.004152671755725191,-0.08534351145038169,0.1357421875,0.1826171875,0.891357421875
0.015,-0.031206106870229008,0.0032061068702290076,-0.08674809160305344,0.141845703125,0.18212890625,0.8798828125
0.02,-0.032916030534351146,0.004793893129770993,-0.0875114503816794,0.1396484375,0.17333984375,0.871337890625
0.025,-0.03377099236641221,0.004244274809160306,-0.08882442748091603,0.138427734375,0.168701171875,0.867431640625
0.03,-0.034595419847328245,0.0014045801526717556,-0.09050381679389313,0.128662109375,0.160400390625,0.87451171875
0.035,-0.03523664122137404,0.0007022900763358778,-0.0913587786259542,0.131103515625,0.158935546875,0.86572265625
0.04,-0.03419847328244275,-0.0016793893129770992,-0.09138931297709924,0.129150390625,0.156982421875,0.8583984375
0.045,-0.03389312977099237,-0.005557251908396947,-0.09196946564885497,0.123779296875,0.148193359375,0.855224609375
0.05,-0.03312977099236641,-0.008610687022900763,-0.09380152671755725,0.12353515625,0.144287109375,0.84619140625
0.055,-0.03114503816793893,-0.012549618320610688,-0.09499236641221374,0.127197265625,0.141357421875,0.84326171875
0.06,-0.028213740458015266,-0.015755725190839693,-0.09633587786259543,0.125244140625,0.135986328125,0.84716796875
0.065,-0.026503816793893128,-0.020396946564885495,-0.09810687022900764,0.125244140625,0.126953125,0.849365234375
0.07,-0.02384732824427481,-0.024732824427480916,-0.09887022900763358,0.121337890625,0.122314453125,0.833740234375
0.075,-0.02018320610687023,-0.026717557251908396,-0.10018320610687023,0.134521484375,0.117919921875,0.828369140625
0.08,-0.01682442748091603,-0.03038167938931298,-0.10134351145038169,0.13671875,0.113037109375,0.83251953125
0.085,-0.013526717557251908,-0.031572519083969464,-0.1021679389312977,0.14013671875,0.112060546875,0.84033203125
0.09,-0.010412213740458014,-0.030503816793893128,-0.10341984732824427,0.148193359375,0.109619140625,0.829345703125
0.095,-0.006351145038167939,-0.029618320610687022,-0.10458015267175573,0.16357421875,0.1005859375,0.85205078125
0.1,-0.0017709923664122138,-0.027480916030534354,-0.1050381679389313,0.17236328125,0.106689453125,0.84521484375
0.105,0.0019541984732824426,-0.022137404580152672,-0.104793893129771,0.183837890625,0.09765625,0.842529296875
0.11,0.0038167938931297713,-0.016732824427480916,-0.10451908396946566,0.184814453125,0.09375,0.864501953125
0.115,0.007175572519083969,-0.012977099236641221,-0.10287022900763358,0.183349609375,0.10302734375,0.877197265625
0.12,0.009404580152671755,-0.00781679389312977,-0.10125190839694656,0.189208984375,0.099853515625,0.876953125
0.125,0.010931297709923665,-0.0022290076335877863,-0.0996030534351145,0.20361328125,0.104248046875,0.8818359375
0.13,0.011786259541984732,0.0013129770992366412,-0.09734351145038168,0.186767578125,0.105224609375,0.890869140625
0.135,0.013557251908396946,0.005832061068702291,-0.0947175572519084,0.1875,0.1083984375,0.890625
0.14,0.014381679389312977,0.007358778625954199,-0.0916030534351145,0.18310546875,0.109130859375,0.89306640625
0.145,0.016549618320610686,0.010412213740458014,-0.09025954198473282,0.19482421875,0.101318359375,0.890869140625
0.15,0.016916030534351145,0.011725190839694656,-0.08876335877862596,0.193115234375,0.102783203125,0.9052734375
0.155,0.01847328244274809,0.011236641221374044,-0.08717557251908398,0.18603515625,0.108154296875,0.910400390625
0.16,0.01966412213740458,0.010473282442748092,-0.08586259541984732,0.18603515625,0.108642578125,0.90185546875
0.165,0.020366412213740456,0.00964885496183206,-0.08473282442748092,0.186767578125,0.11181640625,0.910400390625
0.17,0.02134351145038168,0.0077557251908396945,-0.08225954198473281,0.177001953125,0.116455078125,0.907958984375
0.175,0.021068702290076336,0.005862595419847328,-0.08189312977099236,0.189697265625,0.119873046875,0.90771484375
0.18,0.02198473282442748,0.0033893129770992364,-0.0795114503816794,0.1748046875,0.12451171875,0.917724609375
0.185,0.021099236641221375,0.0005496183206106871,-0.07783206106870229,0.174072265625,0.12841796875,0.923583984375
0.19,0.020427480916030537,-0.003114503816793893,-0.07706870229007633,0.171630859375,0.1259765625,0.917724609375
0.195,0.01945038167938931,-0.004030534351145038,-0.07572519083969466,0.187744140625,0.124267578125,0.923583984375
0.2,0.018625954198473283,-0.007969465648854963,-0.07398473282442748,0.18017578125,0.12548828125,0.923828125
0.205,0.01780152671755725,-0.008732824427480915,-0.07319083969465649,0.181396484375,0.132080078125,0.927001953125
0.21,0.01716030534351145,-0.009038167938931299,-0.07254961832061069,0.19091796875,0.125,0.923583984375
0.215,0.01587786259541985,-0.008427480916030534,-0.07099236641221374,0.191650390625,0.130615234375,0.924072265625
0.22,0.014717557251908398,-0.007114503816793893,-0.07096183206106871,0.202392578125,0.123291015625,0.932373046875
0.225,0.012366412213740458,-0.006290076335877862,-0.06989312977099237,0.1953125,0.125732421875,0.935791015625
0.23,0.01102290076335878,-0.004,-0.06891603053435115,0.1904296875,0.124755859375,0.9345703125
0.235,0.008977099236641221,-0.0011908396946564885,-0.06741984732824427,0.1845703125,0.1240234375,0.9267578125
0.24,0.008610687022900763,-0.00027480916030534353,-0.06757251908396947,0.186767578125,0.12548828125,0.926513671875
0.245,0.007267175572519083,0.0005801526717557252,-0.06717557251908397,0.179443359375,0.12255859375,0.91162109375
0.25,0.006381679389312977,0.0013435114503816794,-0.06650381679389314,0.18359375,0.1142578125,0.924072265625
0.255,0.005893129770992366,0.001984732824427481,-0.06516030534351146,0.17822265625,0.119873046875,0.923095703125
0.26,0.006015267175572519,0.0011297709923664123,-0.06418320610687023,0.178466796875,0.117431640625,0.91650390625
0.265,0.006534351145038168,0.002045801526717557,-0.06299236641221374,0.171630859375,0.115966796875,0.9091796875
0.27,0.005954198473282443,0.0018931297709923664,-0.062106870229007634,0.1796875,0.11279296875,0.91748046875
0.275,0.006106870229007634,0.00021374045801526718,-0.06125190839694657,0.17333984375,0.114990234375,0.917236328125
0.28,0.005740458015267175,-0.00015267175572519084,-0.06067175572519084,0.17041015625,0.112060546875,0.911376953125
0.285,0.005923664122137405,-0.000916030534351145,-0.05908396946564885,0.168212890625,0.10791015625,0.91162109375
0.29,0.006656488549618321,-0.0013740458015267176,-0.05929770992366412,0.15771484375,0.115478515625,0.917724609375
0.295,0.006595419847328245,-0.0016793893129770992,-0.05789312977099237,0.153076171875,0.111328125,0.911865234375
0.3,0.006748091603053436,-0.003786259541984733,-0.05658015267175573,0.16015625,0.110595703125,0.899658203125
0.305,0.006595419847328245,-0.00482442748091603,-0.05603053435114504,0.16552734375,0.109130859375,0.905517578125
0.31,0.008396946564885497,-0.005343511450381679,-0.054656488549618326,0.158447265625,0.109619140625,0.90283203125
0.315,0.009587786259541986,-0.005862595419847328,-0.05380152671755725,0.14990234375,0.108642578125,0.8994140625
0.32,0.010595419847328244,-0.00699236641221374,-0.05312977099236641,0.162109375,0.10205078125,0.898193359375
0.325,0.012030534351145037,-0.00699236641221374,-0.05276335877862596,0.164794921875,0.11474609375,0.90869140625
0.33,0.01334351145038168,-0.0061374045801526715,-0.052152671755725195,0.159912109375,0.109619140625,0.902099609375
0.335,0.01563358778625954,-0.005038167938931298,-0.051786259541984736,0.174072265625,0.10595703125,0.90234375
0.34,0.016641221374045802,-0.002412213740458015,-0.05108396946564885,0.17578125,0.1083984375,0.900390625
0.345,0.01761832061068702,-0.0004885496183206107,-0.05010687022900763,0.167236328125,0.111083984375,0.910888671875
0.35,0.018931297709923665,0.0022290076335877863,-0.04873282442748091,0.169921875,0.1123046875,0.91064453125
0.355,0.01996946564885496,0.004,-0.04842748091603053,0.175537109375,0.119140625,0.924072265625
0.36,0.02100763358778626,0.005435114503816794,-0.047969465648854966,0.171142578125,0.115478515625,0.923583984375
0.365,0.02204580152671756,0.008091603053435115,-0.046564885496183206,0.16943359375,0.126220703125,0.924560546875
0.37,0.02186259541984733,0.008854961832061069,-0.04403053435114503,0.180419921875,0.132080078125,0.92333984375
0.375,0.02183206106870229,0.010717557251908398,-0.040916030534351146,0.174072265625,0.135986328125,0.923828125
0.38,0.02235114503816794,0.011511450381679389,-0.03850381679389313,0.173828125,0.1337890625,0.92236328125
0.385,0.022778625954198474,0.014687022900763357,-0.036274809160305344,0.1748046875,0.13232421875,0.92138671875
0.39,0.02384732824427481,0.016702290076335877,-0.034900763358778626,0.1689453125,0.135498046875,0.919921875
0.395,0.024793893129770993,0.018290076335877863,-0.033954198473282446,0.176025390625,0.13525390625,0.9140625
0.4,0.026137404580152672,0.018625954198473283,-0.03038167938931298,0.17333984375,0.135986328125,0.915771484375
0.405,0.026900763358778626,0.017557251908396947,-0.02784732824427481,0.16650390625,0.139892578125,0.9140625
0.41,0.02745038167938931,0.017190839694656488,-0.025740458015267177,0.15869140625,0.148681640625,0.915771484375
0.415,0.028366412213740456,0.016213740458015265,-0.02280916030534351,0.152099609375,0.14501953125,0.921875
0.42,0.028641221374045803,0.01450381679389313,-0.021038167938931297,0.151123046875,0.143798828125,0.919677734375
0.425,0.029068702290076333,0.014198473282442748,-0.018564885496183205,0.148193359375,0.14501953125,0.913330078125
0.43,0.02934351145038168,0.012366412213740458,-0.016549618320610686,0.145751953125,0.153076171875,0.918212890625
0.435,0.029068702290076333,0.011816793893129772,-0.016061068702290075,0.153564453125,0.144775390625,0.92138671875
0.44,0.02964885496183206,0.012213740458015269,-0.014045801526717557,0.14697265625,0.14111328125,0.917236328125
0.445,0.03004580152671756,0.012488549618320612,-0.013160305343511449,0.14697265625,0.14306640625,0.91552734375
0.45,0.02998473282442748,0.014290076335877862,-0.01080916030534351,0.150390625,0.1416015625,0.9091796875
0.455,0.029190839694656488,0.01804580152671756,-0.009038167938931299,0.157470703125,0.154296875,0.9033203125
0.46,0.029435114503816796,0.021068702290076336,-0.006809160305343512,0.15478515625,0.14013671875,0.899658203125
0.465,0.028274809160305343,0.02329770992366412,-0.006106870229007634,0.1494140625,0.145751953125,0.89306640625
0.47,0.029129770992366414,0.02635114503816794,-0.005526717557251908,0.14599609375,0.14453125,0.900634765625
0.475,0.028305343511450382,0.028122137404580153,-0.004061068702290076,0.14697265625,0.142822265625,0.89453125
0.48,0.02769465648854962,0.031022900763358778,-0.002412213740458015,0.141845703125,0.142578125,0.898193359375
0.485,0.027480916030534354,0.032030534351145036,-0.0015572519083969466,0.1396484375,0.145751953125,0.90380859375
0.49,0.026320610687022898,0.03245801526717557,0.0,0.138427734375,0.151123046875,0.90478515625
0.495,0.025740458015267177,0.03471755725190839,0.001251908396946565,0.14111328125,0.153076171875,0.916015625
0.5,0.024916030534351145,0.036274809160305344,0.00183206106870229,0.140625,0.14892578125,0.909912109375
0.505,0.024610687022900764,0.037893129770992365,0.002473282442748092,0.142822265625,0.160888671875,0.9140625
0.51,0.022900763358778626,0.03978625954198473,0.00216793893129771,0.14208984375,0.16748046875,0.9072265625
0.515,0.022076335877862598,0.041404580152671754,0.0025954198473282443,0.14208984375,0.170166015625,0.9150390625
0.52,0.02082442748091603,0.04116030534351146,0.0034809160305343512,0.1328125,0.171142578125,0.922607421875
0.525,0.019480916030534354,0.04033587786259542,0.005435114503816794,0.134521484375,0.17626953125,0.916748046875
0.53,0.018167938931297707,0.04048854961832061,0.006229007633587786,0.14306640625,0.175537109375,0.915283203125
0.535,0.016854961832061068,0.03887022900763359,0.0076946564885496185,0.14013671875,0.183837890625,0.915771484375
0.54,0.015603053435114504,0.03853435114503816,0.00751145038167939,0.13525390625,0.17724609375,0.905029296875
0.545,0.014137404580152672,0.03838167938931298,0.006473282442748092,0.130859375,0.181640625,0.904296875
0.55,0.014076335877862596,0.037099236641221375,0.0060763358778625955,0.1337890625,0.181640625,0.90087890625
0.555,0.013251908396946564,0.03606106870229008,0.0044580152671755725,0.135009765625,0.173095703125,0.890380859375
0.56,0.012793893129770993,0.03374045801526717,0.0033587786259541984,0.129638671875,0.18115234375,0.89501953125
0.565,0.012732824427480915,0.03361832061068702,0.0037251908396946564,0.123779296875,0.181640625,0.896484375
0.57,0.012641221374045802,0.029954198473282442,0.004030534351145038,0.12158203125,0.181396484375,0.904541015625
0.575,0.012977099236641221,0.02784732824427481,0.00467175572519084,0.120849609375,0.17578125,0.90087890625
0.58,0.013740458015267177,0.024488549618320612,0.004977099236641221,0.130126953125,0.178955078125,0.89501953125
0.585,0.014442748091603053,0.023938931297709923,0.005587786259541985,0.129150390625,0.185546875,0.908447265625
0.59,0.014259541984732824,0.023328244274809163,0.006625954198473282,0.127197265625,0.1826171875,0.904296875
0.595,0.014473282442748092,0.02482442748091603,0.007908396946564885,0.12646484375,0.18115234375,0.9111328125
0.6,0.01569465648854962,0.027175572519083972,0.008977099236641221,0.129150390625,0.18017578125,0.917724609375
0.605,0.015114503816793894,0.02815267175572519,0.009618320610687023,0.1318359375,0.1845703125,0.91455078125
0.61,0.014809160305343511,0.030412213740458015,0.010106870229007633,0.129150390625,0.1767578125,0.918212890625
0.615,0.015297709923664122,0.035419847328244276,0.009160305343511449,0.1279296875,0.17724609375,0.906982421875
0.62,0.013954198473282442,0.03911450381679389,0.01148091603053435,0.136474609375,0.181640625,0.911865234375
0.625,0.013740458015267177,0.04183206106870229,0.01398473282442748,0.137939453125,0.183349609375,0.913818359375
0.63,0.012580152671755725,0.04519083969465649,0.01566412213740458,0.130615234375,0.17919921875,0.914794921875
0.635,0.012,0.048030534351145036,0.01761832061068702,0.133056640625,0.1806640625,0.912841796875
0.64,0.010748091603053435,0.04943511450381679,0.019175572519083972,0.123046875,0.18359375,0.910400390625
0.645,0.009251908396946566,0.052335877862595415,0.022320610687022898,0.125732421875,0.18701171875,0.916259765625
0.65,0.008030534351145037,0.0503206106870229,0.02482442748091603,0.109130859375,0.1845703125,0.91162109375
0.655,0.006259541984732824,0.050076335877862595,0.028091603053435114,0.1181640625,0.190185546875,0.906494140625
0.66,0.004152671755725191,0.0473587786259542,0.029740458015267177,0.101318359375,0.19091796875,0.91064453125
0.665,0.002381679389312977,0.045893129770992365,0.031175572519083972,0.09912109375,0.19091796875,0.915283203125
0.67,0.000732824427480916,0.04396946564885496,0.03227480916030535,0.0986328125,0.189208984375,0.909912109375
0.675,-0.0023511450381679387,0.04293129770992366,0.03374045801526717,0.09423828125,0.193115234375,0.914306640625
0.68,-0.00500763358778626,0.03902290076335878,0.03413740458015267,0.084228515625,0.19384765625,0.908935546875
0.685,-0.0077557251908396945,0.03596946564885496,0.03480916030534351,0.08154296875,0.189208984375,0.90283203125
0.69,-0.009709923664122136,0.034229007633587785,0.034381679389312976,0.079345703125,0.19189453125,0.895751953125
0.695,-0.012091603053435115,0.03245801526717557,0.035389312977099234,0.078857421875,0.1845703125,0.902099609375
0.7,-0.01334351145038168,0.031236641221374047,0.037221374045801524,0.08251953125,0.18701171875,0.895263671875
0.705,-0.014473282442748092,0.03126717557251908,0.040091603053435114,0.093505859375,0.1826171875,0.893310546875
0.71,-0.014931297709923663,0.03441221374045801,0.04283969465648855,0.1015625,0.18505859375,0.888671875
0.715,-0.015236641221374045,0.03902290076335878,0.047603053435114506,0.1025390625,0.182373046875,0.90234375
0.72,-0.01596946564885496,0.04229007633587786,0.050076335877862595,0.095458984375,0.18408203125,0.908203125
0.725,-0.016580152671755728,0.047297709923664125,0.05163358778625954,0.095458984375,0.19287109375,0.91015625
0.73,-0.01764885496183206,0.05288549618320611,0.05615267175572519,0.09619140625,0.19921875,0.912109375
0.735,-0.01868702290076336,0.05627480916030535,0.058595419847328245,0.081298828125,0.19677734375,0.904296875
0.74,-0.020213740458015265,0.06106870229007634,0.06143511450381679,0.07666015625,0.2041015625,0.89990234375
0.745,-0.02149618320610687,0.06290076335877863,0.06338931297709924,0.071044921875,0.21435546875,0.90576171875
0.75,-0.022412213740458015,0.0641526717557252,0.06494656488549619,0.0595703125,0.21337890625,0.904541015625
0.755,-0.02280916030534351,0.06265648854961832,0.06629007633587786,0.054931640625,0.210693359375,0.904296875
0.76,-0.02381679389312977,0.059908396946564885,0.06845801526717557,0.0615234375,0.214111328125,0.90576171875
0.765,-0.02396946564885496,0.05557251908396947,0.0703206106870229,0.062744140625,0.2236328125,0.893310546875
0.77,-0.02345038167938931,0.051389312977099234,0.07053435114503817,0.0546875,0.224853515625,0.885009765625
0.775,-0.02247328244274809,0.04555725190839695,0.07300763358778625,0.052734375,0.227783203125,0.8798828125
0.78,-0.0216793893129771,0.04161832061068702,0.07410687022900764,0.051513671875,0.22998046875,0.87158203125
0.785,-0.020946564885496184,0.03651908396946565,0.07474809160305344,0.047607421875,0.232421875,0.86279296875
0.79,-0.01926717557251908,0.0309618320610687,0.07554198473282443,0.04296875,0.234375,0.861328125
0.795,-0.017709923664122138,0.02552671755725191,0.0757557251908397,0.044921875,0.228271484375,0.866943359375
0.8,-0.016396946564885495,0.01734351145038168,0.07706870229007633,0.041015625,0.229248046875,0.8681640625
0.805,-0.015786259541984732,0.012946564885496184,0.07850381679389314,0.034423828125,0.232666015625,0.859130859375
0.81,-0.01566412213740458,0.008396946564885497,0.07945038167938931,0.038818359375,0.229248046875,0.8564453125
0.815,-0.014442748091603053,0.0038778625954198473,0.08030534351145038,0.041015625,0.2275390625,0.854248046875
0.82,-0.013160305343511449,0.0015267175572519086,0.08338931297709924,0.056396484375,0.224609375,0.857177734375
